feature,drift_score,status
V20,0.0007,OK
V2,0.0006,OK
hour_sin,0.0004,OK
V26,0.0004,OK
V23,0.0004,OK
Amount_original,0.0003,OK
hour_cos,0.0003,OK
V6,0.0003,OK
Amount,0.0003,OK
V9,0.0003,OK
amount_deviation,0.0002,OK
V19,0.0002,OK
V27,0.0002,OK
V25,0.0002,OK
V24,0.0002,OK
V22,0.0002,OK
V21,0.0002,OK
V1,0.0002,OK
V18,0.0002,OK
V12,0.0002,OK
V3,0.0002,OK
V4,0.0002,OK
V10,0.0002,OK
V11,0.0002,OK
V8,0.0002,OK
V13,0.0002,OK
V15,0.0002,OK
V16,0.0002,OK
anomaly_score,0.0002,OK
V14,0.0001,OK
V28,0.0001,OK
V17,0.0001,OK
V7,0.0001,OK
V5,0.0001,OK
day,0.0,OK
txn_count_day,0.0,OK
avg_amount_day,0.0,OK
graph_risk_score,0.0,OK
